trial_id,pair_id,condition,surface,desired_velocity_mps,command_velocity_mps,measured_actual_velocity_mps,absolute_tracking_error_mps,relative_tracking_error,yaw_drift_deg,imu_yaw_drift_deg,extraction_status,n_samples,state_log_path,notes
M23A_S2_marble_floor_V040_comp_R1,M23A_S2_marble_floor_V040_P1,compensated,,0.4,0.38188437161486893,0.375517,0.024483,-0.061208,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_comp_R1.csv,
M23A_S2_marble_floor_V040_comp_R2,M23A_S2_marble_floor_V040_P2,compensated,,0.4,0.38188437161486893,0.375517,0.024483,-0.061208,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_comp_R2.csv,
M23A_S2_marble_floor_V040_comp_R3,M23A_S2_marble_floor_V040_P3,compensated,,0.4,0.38188437161486893,0.375517,0.024483,-0.061208,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_comp_R3.csv,
M23A_S2_marble_floor_V040_dire_R1,M23A_S2_marble_floor_V040_P1,direct,,0.4,0.4,0.393333,0.006667,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_dire_R1.csv,
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,direct,,0.4,0.4,0.393333,0.006667,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_dire_R2.csv,
M23A_S2_marble_floor_V040_dire_R3,M23A_S2_marble_floor_V040_P3,direct,,0.4,0.4,0.393333,0.006667,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V040_dire_R3.csv,
M23A_S2_marble_floor_V045_comp_R1,M23A_S2_marble_floor_V045_P1,compensated,,0.45,0.4165612727217716,0.409617,0.040383,-0.089741,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_comp_R1.csv,
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,,0.45,0.4165612727217716,0.409617,0.040383,-0.089741,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_comp_R2.csv,
M23A_S2_marble_floor_V045_comp_R3,M23A_S2_marble_floor_V045_P3,compensated,,0.45,0.4165612727217716,0.409617,0.040383,-0.089741,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_comp_R3.csv,
M23A_S2_marble_floor_V045_dire_R1,M23A_S2_marble_floor_V045_P1,direct,,0.45,0.45,0.4425,0.0075,-0.016667,0.0,0.0,ok,60,/home/booster/data/compensation_experiments/m23b_k1/m23b_k1_s2_executable_20260612_121605/state_logs/M23A_S2_marble_floor_V045_dire_R1.csv,
