trial_id,pair_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.000,0.0,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.100,0.1,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.200,0.2,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.300,0.3,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.400,0.4,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.500,0.5,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.600,0.6,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.700,0.7,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.800,0.8,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,0.900,0.9,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.000,1.0,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.100,1.1,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.200,1.2,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.300,1.3,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.400,1.4,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.500,1.5,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.600,1.6,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.700,1.7,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.800,1.8,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,1.900,1.9,idle,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.000,2.0,command,0.0000,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.100,2.1,command,0.0417,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.200,2.2,command,0.0833,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.300,2.3,command,0.1250,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.400,2.4,command,0.1666,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.500,2.5,command,0.2083,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.600,2.6,command,0.2499,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.700,2.7,command,0.2916,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.800,2.8,command,0.3332,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,2.900,2.9,command,0.3749,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.000,3.0,command,0.4166,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.100,3.1,command,0.4582,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.200,3.2,command,0.4999,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.300,3.3,command,0.5415,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.400,3.4,command,0.5832,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.500,3.5,command,0.6248,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.600,3.6,command,0.6665,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.700,3.7,command,0.7082,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.800,3.8,command,0.7498,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,3.900,3.9,command,0.7915,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.000,4.0,command,0.8331,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.100,4.1,command,0.8748,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.200,4.2,command,0.9164,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.300,4.3,command,0.9581,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.400,4.4,command,0.9997,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.500,4.5,command,1.0414,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.600,4.6,command,1.0831,0.0000,0.0000,0.000,0.000,0.000,compensated
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,compensated,0.45,0.4165612727217716,4.700,4.7,command,1.1247,0.0000,0.0000,0.000,0.000,0.000,compensated
