trial_id,refresh_group_id,surface,command_velocity_mps,desired_velocity_mps,measured_actual_velocity_mps,tracking_error_mps,yaw_drift_deg,imu_yaw_drift_deg,forward_distance_m,duration_sec,window_start_sec,window_end_sec,n_samples,extraction_status,invalid_reason,state_log_path,physical_run_status,notes
M24A_S2_marble_floor_V035_R1,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,0.007807,-0.342193,1.594542,1.693663,0.031223,3.999565,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V035_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V035_R2,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,0.006438,-0.343562,2.204627,2.208924,0.02575,3.999413,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V035_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V035_R3,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,0.0,-0.35,1.226359,1.296374,1e-06,4.000017,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V035_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V035_R4,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,-0.000317,-0.350317,0.048816,0.037815,-0.001269,3.999951,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V035_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V035_R5,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,-1e-06,-0.350001,0.136479,0.160428,-6e-06,3.999017,3.0,7.0,3989,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V035_R5.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.013834,-0.386166,0.000401,0.001833,0.055318,3.998679,3.0,7.0,3987,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V040_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V040_R2,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,-1e-06,-0.400001,0.0695,0.074599,-3e-06,3.999583,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V040_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.005197,-0.394803,1.530542,1.35241,0.02078,3.998568,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V040_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V040_R4,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.037736,-0.362264,2.801706,2.801248,0.150903,3.998953,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V040_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V040_R5,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.0,-0.4,0.083996,0.094825,0.0,3.999627,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V040_R5.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V045_R1,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.039574,-0.410426,4.729709,5.012063,0.158305,4.000271,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V045_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V045_R2,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.050268,-0.399732,5.053259,5.101845,0.200981,3.998189,3.0,7.0,3992,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V045_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V045_R3,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.001891,-0.448109,0.064458,0.066979,0.007562,3.999745,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V045_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V045_R4,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.106444,-0.343556,5.135249,5.003812,0.425804,4.000257,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V045_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V045_R5,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.0,-0.45,0.213541,0.287224,0.0,4.000192,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V045_R5.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V050_R1,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.002242,-0.497758,0.394138,0.450746,0.008968,3.999754,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V050_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V050_R2,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.003637,-0.496363,0.074026,0.080329,0.014538,3.997679,3.0,7.0,3992,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V050_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V050_R3,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.055687,-0.444313,3.485188,3.490115,0.222762,4.000232,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V050_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V050_R4,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.081038,-0.418962,1.81301,2.311827,0.324137,3.999801,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V050_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V050_R5,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.002583,-0.497417,0.658615,0.68096,0.010334,4.000568,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V050_R5.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V055_R1,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.000501,-0.549499,0.090298,0.089152,0.002002,3.999568,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V055_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V055_R2,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.069756,-0.480244,0.901033,0.931343,0.279033,4.00011,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V055_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.052469,-0.497531,0.999067,0.995801,0.209873,3.999919,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V055_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V055_R4,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.049722,-0.500278,5.267545,5.347931,0.198818,3.998589,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V055_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V055_R5,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.073321,-0.476679,1.617746,1.536616,0.293275,3.999882,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V055_R5.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.07428,-0.52572,0.790739,0.830159,0.296959,3.997829,3.0,7.0,3992,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V060_R1.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V060_R2,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.083754,-0.516246,0.027502,0.107372,0.334959,3.9993,3.0,7.0,3992,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V060_R2.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V060_R3,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.09611,-0.50389,0.278114,0.40617,0.384314,3.998695,3.0,7.0,3991,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V060_R3.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.088319,-0.511681,0.354031,0.515089,0.353222,3.999393,3.0,7.0,3993,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V060_R4.csv,executed,M24-F corrected command-window extraction
M24A_S2_marble_floor_V060_R5,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.071816,-0.528184,0.974086,1.014307,0.287272,4.000081,3.0,7.0,3994,ok,,data\compensation_experiments\m24b_s2_profile_refresh\m24b_s2_profile_refresh_clean_20260612_145358\state_logs\M24A_S2_marble_floor_V060_R5.csv,executed,M24-F corrected command-window extraction
