trial_id,refresh_group_id,surface,command_velocity_mps,desired_velocity_mps,measured_actual_velocity_mps,tracking_error_mps,yaw_drift_deg,imu_yaw_drift_deg,extraction_status,invalid_reason,state_log_path,physical_run_status,notes
M24A_S2_marble_floor_V035_R1,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,0.001541,-0.348459,0.582698,0.650078,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R2,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,0.003452,-0.346548,2.319161,2.394276,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R3,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,-0.000454,-0.350454,0.16484,0.183289,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R4,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,-0.000817,-0.350817,0.584589,0.570379,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R5,M24A_S2_marble_floor_V035,S2_marble_floor,0.35,0.35,-1e-06,-0.350001,0.004183,0.004125,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R5.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.000824,-0.399176,1.188143,1.162302,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R2,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,-2e-06,-0.400002,0.019309,0.019022,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.000889,-0.399111,0.386575,0.374199,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R4,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.00165,-0.39835,0.088637,0.089725,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R5,M24A_S2_marble_floor_V040,S2_marble_floor,0.40,0.40,0.0,-0.4,0.004756,0.004985,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R5.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R1,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,6e-06,-0.449994,0.018449,0.021085,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R2,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,-0.001447,-0.451447,0.466044,0.458022,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R3,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,-1e-06,-0.450001,0.000859,0.002063,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R4,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.010625,-0.439375,6.72429,6.717243,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R5,M24A_S2_marble_floor_V045,S2_marble_floor,0.45,0.45,0.0,-0.45,0.012089,0.012376,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R5.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R1,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,-0.0,-0.5,0.002349,0.001776,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R2,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.0,-0.5,0.001089,0.001261,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R3,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,0.00416,-0.49584,0.034721,0.02309,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R4,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,-3.6e-05,-0.500036,2.487725,2.388776,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R5,M24A_S2_marble_floor_V050,S2_marble_floor,0.50,0.50,1e-06,-0.499999,0.003667,0.004068,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R5.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R1,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,-2e-06,-0.550002,0.00487,0.004756,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R2,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,0.003042,-0.546958,0.066005,0.050993,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,-0.001258,-0.551258,1.300786,1.297692,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R4,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,-0.001963,-0.551963,0.687721,0.691331,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V055_R5,M24A_S2_marble_floor_V055,S2_marble_floor,0.55,0.55,-0.001677,-0.551677,0.984972,1.018203,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V055_R5.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R1,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,-0.001504,-0.601504,1.222234,1.337742,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R1.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R2,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.002168,-0.597832,0.004813,0.001203,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R2.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R3,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.001423,-0.598577,0.501281,0.530272,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R3.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R4,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,-0.000905,-0.600905,0.107258,0.111555,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R4.csv,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V060_R5,M24A_S2_marble_floor_V060,S2_marble_floor,0.60,0.60,0.002365,-0.597635,0.122728,0.069156,ok,,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V060_R5.csv,executed,logger_rc=0; sdk_rc=0
