trial_id,refresh_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.361827,0.711,idle,-21.626787,-1.827629,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.362586,0.712,idle,-21.626787,-1.827629,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.363028,0.713,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.363634,0.713,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.363927,0.714,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.364756,0.714,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.365110,0.715,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.365718,0.715,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.366007,0.716,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.366585,0.716,idle,-21.627453,-1.827182,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.366876,0.717,idle,-21.628130,-1.826728,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.367487,0.717,idle,-21.628130,-1.826728,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.367786,0.717,idle,-21.628130,-1.826728,-2.162126,,,-2.162126,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.368410,0.718,idle,-21.628130,-1.826728,-2.162126,,,-2.162117,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.368692,0.718,idle,-21.628130,-1.826728,-2.162126,,,-2.162117,ros2_odometer_state
M24A_S2_marble_floor_V055_R3,M24A_S2_marble_floor_V055,direct_refresh,0.550,0.550,2193.369266,0.719,idle,-21.628130,-1.826728,-2.162126,,,-2.162117,ros2_odometer_state
