trial_id,refresh_group_id,session_id,surface,desired_velocity_mps,condition,command_velocity_mps,state_log_path,valid,invalid_reason,timestamp,physical_run_status,notes
M24A_S2_marble_floor_V035_R1,M24A_S2_marble_floor_V035,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.35,direct_refresh,0.35,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R1.csv,true,,2026-06-12T06:54:16.806645+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R2,M24A_S2_marble_floor_V035,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.35,direct_refresh,0.35,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R2.csv,true,,2026-06-12T06:54:36.460803+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R3,M24A_S2_marble_floor_V035,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.35,direct_refresh,0.35,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R3.csv,true,,2026-06-12T06:54:53.722379+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R4,M24A_S2_marble_floor_V035,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.35,direct_refresh,0.35,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R4.csv,true,,2026-06-12T06:55:09.342737+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V035_R5,M24A_S2_marble_floor_V035,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.35,direct_refresh,0.35,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V035_R5.csv,true,,2026-06-12T06:55:25.922049+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R1,M24A_S2_marble_floor_V040,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.40,direct_refresh,0.40,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R1.csv,true,,2026-06-12T06:55:44.693837+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R2,M24A_S2_marble_floor_V040,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.40,direct_refresh,0.40,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R2.csv,true,,2026-06-12T06:56:01.562700+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R3,M24A_S2_marble_floor_V040,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.40,direct_refresh,0.40,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R3.csv,true,,2026-06-12T06:56:18.204481+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R4,M24A_S2_marble_floor_V040,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.40,direct_refresh,0.40,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R4.csv,true,,2026-06-12T06:56:36.460711+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V040_R5,M24A_S2_marble_floor_V040,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.40,direct_refresh,0.40,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V040_R5.csv,true,,2026-06-12T06:57:19.826678+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R1,M24A_S2_marble_floor_V045,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.45,direct_refresh,0.45,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R1.csv,true,,2026-06-12T06:57:35.567858+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R2,M24A_S2_marble_floor_V045,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.45,direct_refresh,0.45,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R2.csv,true,,2026-06-12T06:57:50.784406+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R3,M24A_S2_marble_floor_V045,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.45,direct_refresh,0.45,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R3.csv,true,,2026-06-12T06:58:08.314589+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R4,M24A_S2_marble_floor_V045,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.45,direct_refresh,0.45,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R4.csv,true,,2026-06-12T06:58:29.582948+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V045_R5,M24A_S2_marble_floor_V045,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.45,direct_refresh,0.45,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V045_R5.csv,true,,2026-06-12T06:58:46.559520+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R1,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R1.csv,true,,2026-06-12T06:59:32.007088+00:00,executed,logger_rc=0; sdk_rc=0
M24A_S2_marble_floor_V050_R2,M24A_S2_marble_floor_V050,m24b_s2_profile_refresh_clean_20260612_145358,S2_marble_floor,0.50,direct_refresh,0.50,data/compensation_experiments/m24b_s2_profile_refresh/m24b_s2_profile_refresh_clean_20260612_145358/state_logs/M24A_S2_marble_floor_V050_R2.csv,true,,2026-06-12T06:59:50.510124+00:00,executed,logger_rc=0; sdk_rc=0
