trial_id,replication_group_id,surface,condition,command_velocity_mps,desired_velocity_mps,measured_actual_velocity_mps,tracking_error_mps,yaw_drift_deg,imu_yaw_drift_deg,extraction_status,invalid_reason,state_log_path,physical_run_status,metadata_status,notes
M24G_CORE_S2_marble_floor_V040_R1,,S2_marble_floor,direct_refresh_controlled,0.4,0.4,0.002121,-0.397879,0.1562,0.1522,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R1.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V040_R2,,S2_marble_floor,direct_refresh_controlled,0.4,0.4,0.057707,-0.342293,4.1612,4.1612,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R2.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V040_R3,,S2_marble_floor,direct_refresh_controlled,0.4,0.4,0.048168,-0.351832,1.5493,1.5061,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R3.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V040_R4,,S2_marble_floor,direct_refresh_controlled,0.4,0.4,0.032358,-0.367642,3.7867,3.4997,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R4.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V040_R5,,S2_marble_floor,direct_refresh_controlled,0.4,0.4,0.000616,-0.399384,0.0406,0.0406,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R5.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V045_R1,,S2_marble_floor,direct_refresh_controlled,0.45,0.45,0.058214,-0.391786,6.4054,6.4054,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R1.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V045_R2,,S2_marble_floor,direct_refresh_controlled,0.45,0.45,0.033614,-0.416386,0.3788,0.3788,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R2.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V045_R3,,S2_marble_floor,direct_refresh_controlled,0.45,0.45,0.081474,-0.368526,1.4695,1.4695,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R3.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V045_R4,,S2_marble_floor,direct_refresh_controlled,0.45,0.45,0.074553,-0.375447,4.4988,4.4988,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R4.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V045_R5,,S2_marble_floor,direct_refresh_controlled,0.45,0.45,0.068857,-0.381143,3.3518,3.3518,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R5.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V050_R1,,S2_marble_floor,direct_refresh_controlled,0.5,0.5,0.099475,-0.400525,2.5729,2.5729,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R1.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
M24G_CORE_S2_marble_floor_V050_R2,,S2_marble_floor,direct_refresh_controlled,0.5,0.5,0.052712,-0.447288,0.0626,0.0613,ok,,/home/booster/data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R2.csv,extracted,na,"corrected command-window extraction, trim=1.0s"
