trial_id,replication_group_id,condition,desired_velocity_mps,command_velocity_mps,timestamp_monotonic,t_rel,phase,odom_x,odom_y,odom_theta,imu_roll,imu_pitch,imu_yaw,source
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.022731,0.663,idle,-1.756737,7.240674,1.806795,,,1.806797,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.034253,0.674,idle,-1.755971,7.240859,1.806805,,,1.806797,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.038729,0.679,idle,-1.755971,7.240859,1.806805,,,1.806818,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.040419,0.681,idle,-1.755202,7.241044,1.806828,,,1.806818,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.042169,0.682,idle,-1.755202,7.241044,1.806828,,,1.806816,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.043608,0.684,idle,-1.755202,7.241044,1.806828,,,1.806816,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.044602,0.685,idle,-1.755202,7.241044,1.806828,,,1.806822,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.047222,0.687,idle,-1.752127,7.241783,1.806866,,,1.806822,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.067323,0.707,idle,-1.752127,7.241783,1.806866,,,1.806863,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.068939,0.709,idle,-1.751356,7.241969,1.806863,,,1.806863,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.071442,0.712,idle,-1.751356,7.241969,1.806863,,,1.806860,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.078827,0.719,idle,-1.751356,7.241969,1.806863,,,1.806860,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.096656,0.737,idle,-1.751356,7.241969,1.806863,,,1.806857,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.098278,0.739,idle,-1.750615,7.242147,1.806859,,,1.806857,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.106210,0.746,idle,-1.750615,7.242147,1.806859,,,1.806865,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.109107,0.749,idle,-1.749844,7.242332,1.806865,,,1.806865,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.113824,0.754,idle,-1.749844,7.242332,1.806865,,,1.806863,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.115463,0.756,idle,-1.749844,7.242332,1.806865,,,1.806863,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.118241,0.758,idle,-1.749844,7.242332,1.806865,,,1.806866,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.122693,0.763,idle,-1.749076,7.242517,1.806868,,,1.806866,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.135364,0.776,idle,-1.749076,7.242517,1.806868,,,1.806883,ros2_odometer_state
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,direct_refresh_controlled,0.400,0.400,1663.139864,0.780,idle,-1.748303,7.242703,1.806872,,,1.806883,ros2_odometer_state
