trial_id,replication_group_id,session_id,surface,condition,command_velocity_mps,desired_velocity_mps,repeat_index,state_log_path,valid,invalid_reason,timestamp,physical_run_status,logger_rc,sdk_rc,notes
M24G_CORE_S2_marble_floor_V040_R1,M24G_CORE_S2_marble_floor_V040,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.4,0.4,1,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R1.csv,true,,2026-06-12T09:14:36.741085+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V040_R2,M24G_CORE_S2_marble_floor_V040,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.4,0.4,2,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R2.csv,true,,2026-06-12T09:14:52.076318+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V040_R3,M24G_CORE_S2_marble_floor_V040,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.4,0.4,3,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R3.csv,true,,2026-06-12T09:15:07.349917+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.4,0.4,4,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R4.csv,true,,2026-06-12T09:15:22.745846+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V040_R5,M24G_CORE_S2_marble_floor_V040,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.4,0.4,5,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V040_R5.csv,true,,2026-06-12T09:15:39.352961+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V045_R1,M24G_CORE_S2_marble_floor_V045,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.45,0.45,1,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R1.csv,true,,2026-06-12T09:15:54.186339+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V045_R2,M24G_CORE_S2_marble_floor_V045,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.45,0.45,2,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R2.csv,true,,2026-06-12T09:16:30.789560+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.45,0.45,3,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R3.csv,true,,2026-06-12T09:16:45.744926+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V045_R4,M24G_CORE_S2_marble_floor_V045,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.45,0.45,4,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R4.csv,true,,2026-06-12T09:17:00.706212+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V045_R5,M24G_CORE_S2_marble_floor_V045,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.45,0.45,5,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V045_R5.csv,true,,2026-06-12T09:17:16.297554+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V050_R1,M24G_CORE_S2_marble_floor_V050,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.5,0.5,1,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R1.csv,true,,2026-06-12T09:17:49.864620+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.5,0.5,2,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R2.csv,true,,2026-06-12T09:18:06.393454+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V050_R3,M24G_CORE_S2_marble_floor_V050,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.5,0.5,3,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R3.csv,true,,2026-06-12T09:18:48.410211+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V050_R4,M24G_CORE_S2_marble_floor_V050,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.5,0.5,4,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R4.csv,true,,2026-06-12T09:19:03.478430+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V050_R5,M24G_CORE_S2_marble_floor_V050,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.5,0.5,5,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V050_R5.csv,true,,2026-06-12T09:19:22.046686+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V055_R1,M24G_CORE_S2_marble_floor_V055,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.55,0.55,1,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V055_R1.csv,true,,2026-06-12T09:19:37.674584+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V055_R2,M24G_CORE_S2_marble_floor_V055,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.55,0.55,2,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V055_R2.csv,true,,2026-06-12T09:20:06.916507+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V055_R3,M24G_CORE_S2_marble_floor_V055,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.55,0.55,3,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V055_R3.csv,true,,2026-06-12T09:20:24.870237+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V055_R4,M24G_CORE_S2_marble_floor_V055,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.55,0.55,4,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V055_R4.csv,true,,2026-06-12T09:20:57.021213+00:00,executed,0,0,
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,m24h_controlled_s2_replication_clean_20260612_171419,S2_marble_floor,direct_refresh_controlled,0.55,0.55,5,data/compensation_experiments/m24h_controlled_s2_replication/m24h_controlled_s2_replication_clean_20260612_171419/state_logs/M24G_CORE_S2_marble_floor_V055_R5.csv,true,,2026-06-12T09:21:12.288439+00:00,executed,0,0,
