pair_id,desired_velocity_mps,direct_trial_id,compensated_trial_id,direct_command_velocity_mps,compensated_command_velocity_mps,direct_measured_actual_velocity_mps,compensated_measured_actual_velocity_mps,direct_abs_error,compensated_abs_error,error_delta,improvement,percent_improvement,direct_yaw_drift,compensated_yaw_drift,yaw_drift_delta
M23A_S2_marble_floor_V040_P1,0.4,M23A_S2_marble_floor_V040_dire_R1,M23A_S2_marble_floor_V040_comp_R1,0.4,0.38188437161486893,0.393333,0.375517,0.006667000000000034,0.024483000000000033,0.017816,-0.017816,-267.2266386680652,0.0,0.0,0.0
M23A_S2_marble_floor_V040_P2,0.4,M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_comp_R2,0.4,0.38188437161486893,0.393333,0.375517,0.006667000000000034,0.024483000000000033,0.017816,-0.017816,-267.2266386680652,0.0,0.0,0.0
M23A_S2_marble_floor_V040_P3,0.4,M23A_S2_marble_floor_V040_dire_R3,M23A_S2_marble_floor_V040_comp_R3,0.4,0.38188437161486893,0.393333,0.375517,0.006667000000000034,0.024483000000000033,0.017816,-0.017816,-267.2266386680652,0.0,0.0,0.0
M23A_S2_marble_floor_V045_P1,0.45,M23A_S2_marble_floor_V045_dire_R1,M23A_S2_marble_floor_V045_comp_R1,0.45,0.4165612727217716,0.4425,0.409617,0.007500000000000007,0.040383,0.032882999999999996,-0.032882999999999996,-438.4399999999996,0.0,0.0,0.0
M23A_S2_marble_floor_V045_P2,0.45,M23A_S2_marble_floor_V045_dire_R2,M23A_S2_marble_floor_V045_comp_R2,0.45,0.4165612727217716,0.4425,0.409617,0.007500000000000007,0.040383,0.032882999999999996,-0.032882999999999996,-438.4399999999996,0.0,0.0,0.0
M23A_S2_marble_floor_V045_P3,0.45,M23A_S2_marble_floor_V045_dire_R3,M23A_S2_marble_floor_V045_comp_R3,0.45,0.4165612727217716,0.4425,0.409617,0.007500000000000007,0.040383,0.032882999999999996,-0.032882999999999996,-438.4399999999996,0.0,0.0,0.0
M23A_S2_marble_floor_V050_P1,0.5,M23A_S2_marble_floor_V050_dire_R1,M23A_S2_marble_floor_V050_comp_R1,0.5,0.4518249304121061,0.491667,0.4443,0.00833299999999998,0.05570000000000003,0.04736700000000005,-0.04736700000000005,-568.4267370694847,0.0,0.0,0.0
M23A_S2_marble_floor_V050_P2,0.5,M23A_S2_marble_floor_V050_dire_R2,M23A_S2_marble_floor_V050_comp_R2,0.5,0.4518249304121061,0.491667,0.4443,0.00833299999999998,0.05570000000000003,0.04736700000000005,-0.04736700000000005,-568.4267370694847,0.0,0.0,0.0
M23A_S2_marble_floor_V050_P3,0.5,M23A_S2_marble_floor_V050_dire_R3,M23A_S2_marble_floor_V050_comp_R3,0.5,0.4518249304121061,0.491667,0.4443,0.00833299999999998,0.05570000000000003,0.04736700000000005,-0.04736700000000005,-568.4267370694847,0.0,0.0,0.0
M23A_S2_marble_floor_V055_P1,0.55,M23A_S2_marble_floor_V055_dire_R1,M23A_S2_marble_floor_V055_comp_R1,0.55,0.5029348230314161,0.540833,0.49455,0.009167000000000036,0.055450000000000055,0.04628300000000002,-0.04628300000000002,-504.887095014725,0.0,0.0,0.0
M23A_S2_marble_floor_V055_P2,0.55,M23A_S2_marble_floor_V055_dire_R2,M23A_S2_marble_floor_V055_comp_R2,0.55,0.5029348230314161,0.540833,0.49455,0.009167000000000036,0.055450000000000055,0.04628300000000002,-0.04628300000000002,-504.887095014725,0.0,0.0,0.0
M23A_S2_marble_floor_V055_P3,0.55,M23A_S2_marble_floor_V055_dire_R3,M23A_S2_marble_floor_V055_comp_R3,0.55,0.5029348230314161,0.540833,0.49455,0.009167000000000036,0.055450000000000055,0.04628300000000002,-0.04628300000000002,-504.887095014725,0.0,0.0,0.0
