trial_id,surface,command_velocity_mps,desired_velocity_mps,condition,repeat_index,refresh_group_id,physical_run_status,notes
M24A_S2_marble_floor_V035_R1,S2_marble_floor,0.35,0.35,direct_refresh,1,M24A_S2_marble_floor_V035,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V035_R2,S2_marble_floor,0.35,0.35,direct_refresh,2,M24A_S2_marble_floor_V035,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V035_R3,S2_marble_floor,0.35,0.35,direct_refresh,3,M24A_S2_marble_floor_V035,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V035_R4,S2_marble_floor,0.35,0.35,direct_refresh,4,M24A_S2_marble_floor_V035,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V035_R5,S2_marble_floor,0.35,0.35,direct_refresh,5,M24A_S2_marble_floor_V035,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V040_R1,S2_marble_floor,0.40,0.40,direct_refresh,1,M24A_S2_marble_floor_V040,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V040_R2,S2_marble_floor,0.40,0.40,direct_refresh,2,M24A_S2_marble_floor_V040,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V040_R3,S2_marble_floor,0.40,0.40,direct_refresh,3,M24A_S2_marble_floor_V040,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V040_R4,S2_marble_floor,0.40,0.40,direct_refresh,4,M24A_S2_marble_floor_V040,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V040_R5,S2_marble_floor,0.40,0.40,direct_refresh,5,M24A_S2_marble_floor_V040,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V045_R1,S2_marble_floor,0.45,0.45,direct_refresh,1,M24A_S2_marble_floor_V045,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V045_R2,S2_marble_floor,0.45,0.45,direct_refresh,2,M24A_S2_marble_floor_V045,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V045_R3,S2_marble_floor,0.45,0.45,direct_refresh,3,M24A_S2_marble_floor_V045,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V045_R4,S2_marble_floor,0.45,0.45,direct_refresh,4,M24A_S2_marble_floor_V045,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V045_R5,S2_marble_floor,0.45,0.45,direct_refresh,5,M24A_S2_marble_floor_V045,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V050_R1,S2_marble_floor,0.50,0.50,direct_refresh,1,M24A_S2_marble_floor_V050,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V050_R2,S2_marble_floor,0.50,0.50,direct_refresh,2,M24A_S2_marble_floor_V050,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V050_R3,S2_marble_floor,0.50,0.50,direct_refresh,3,M24A_S2_marble_floor_V050,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V050_R4,S2_marble_floor,0.50,0.50,direct_refresh,4,M24A_S2_marble_floor_V050,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V050_R5,S2_marble_floor,0.50,0.50,direct_refresh,5,M24A_S2_marble_floor_V050,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V055_R1,S2_marble_floor,0.55,0.55,direct_refresh,1,M24A_S2_marble_floor_V055,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V055_R2,S2_marble_floor,0.55,0.55,direct_refresh,2,M24A_S2_marble_floor_V055,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V055_R3,S2_marble_floor,0.55,0.55,direct_refresh,3,M24A_S2_marble_floor_V055,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V055_R4,S2_marble_floor,0.55,0.55,direct_refresh,4,M24A_S2_marble_floor_V055,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V055_R5,S2_marble_floor,0.55,0.55,direct_refresh,5,M24A_S2_marble_floor_V055,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V060_R1,S2_marble_floor,0.60,0.60,direct_refresh,1,M24A_S2_marble_floor_V060,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V060_R2,S2_marble_floor,0.60,0.60,direct_refresh,2,M24A_S2_marble_floor_V060,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V060_R3,S2_marble_floor,0.60,0.60,direct_refresh,3,M24A_S2_marble_floor_V060,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V060_R4,S2_marble_floor,0.60,0.60,direct_refresh,4,M24A_S2_marble_floor_V060,planned,direct command only; no compensation in M24-A/M24-B refresh
M24A_S2_marble_floor_V060_R5,S2_marble_floor,0.60,0.60,direct_refresh,5,M24A_S2_marble_floor_V060,planned,direct command only; no compensation in M24-A/M24-B refresh
