trial_id,method,original_m24b_velocity,re_extracted_velocity,reproduced,difference
M24A_S2_marble_floor_V035_R1,D_original_m24b_extractor,0.001541,0.078002,False,0.076461
M24A_S2_marble_floor_V035_R2,D_original_m24b_extractor,0.003452,0.042271,False,0.038819
M24A_S2_marble_floor_V035_R3,D_original_m24b_extractor,-0.000454,0.037547,False,0.038001
M24A_S2_marble_floor_V035_R4,D_original_m24b_extractor,-0.000817,0.0247,False,0.025517
M24A_S2_marble_floor_V035_R5,D_original_m24b_extractor,-1e-06,0.03486,False,0.034861
M24A_S2_marble_floor_V040_R1,D_original_m24b_extractor,0.000824,0.077439,False,0.076615
M24A_S2_marble_floor_V040_R2,D_original_m24b_extractor,-2e-06,0.038124,False,0.038126
M24A_S2_marble_floor_V040_R3,D_original_m24b_extractor,0.000889,0.055374,False,0.054485
M24A_S2_marble_floor_V040_R4,D_original_m24b_extractor,0.00165,0.104879,False,0.103229
M24A_S2_marble_floor_V040_R5,D_original_m24b_extractor,0.0,0.012774,False,0.012774
M24A_S2_marble_floor_V045_R1,D_original_m24b_extractor,6e-06,0.094595,False,0.094589
M24A_S2_marble_floor_V045_R2,D_original_m24b_extractor,-0.001447,0.116256,False,0.117703
M24A_S2_marble_floor_V045_R3,D_original_m24b_extractor,-1e-06,0.07314,False,0.073141
M24A_S2_marble_floor_V045_R4,D_original_m24b_extractor,0.010625,0.169394,False,0.158769
M24A_S2_marble_floor_V045_R5,D_original_m24b_extractor,0.0,0.018651,False,0.018651
M24A_S2_marble_floor_V050_R1,D_original_m24b_extractor,-0.0,0.02806,False,0.02806
M24A_S2_marble_floor_V050_R2,D_original_m24b_extractor,0.0,0.084546,False,0.084546
M24A_S2_marble_floor_V050_R3,D_original_m24b_extractor,0.00416,0.121234,False,0.117074
M24A_S2_marble_floor_V050_R4,D_original_m24b_extractor,-3.6e-05,0.147038,False,0.147074
M24A_S2_marble_floor_V050_R5,D_original_m24b_extractor,1e-06,0.080144,False,0.080143
M24A_S2_marble_floor_V055_R1,D_original_m24b_extractor,-2e-06,0.083823,False,0.083825
M24A_S2_marble_floor_V055_R2,D_original_m24b_extractor,0.003042,0.138975,False,0.135933
M24A_S2_marble_floor_V055_R3,D_original_m24b_extractor,-0.001258,0.143331,False,0.144589
M24A_S2_marble_floor_V055_R4,D_original_m24b_extractor,-0.001963,0.118474,False,0.120437
M24A_S2_marble_floor_V055_R5,D_original_m24b_extractor,-0.001677,0.157607,False,0.159284
M24A_S2_marble_floor_V060_R1,D_original_m24b_extractor,-0.001504,0.147335,False,0.148839
M24A_S2_marble_floor_V060_R2,D_original_m24b_extractor,0.002168,0.144022,False,0.141854
M24A_S2_marble_floor_V060_R3,D_original_m24b_extractor,0.001423,0.167007,False,0.165584
M24A_S2_marble_floor_V060_R4,D_original_m24b_extractor,-0.000905,0.152829,False,0.153734
M24A_S2_marble_floor_V060_R5,D_original_m24b_extractor,0.002365,0.144301,False,0.141936
