trial_id,method,extraction_status,actual_velocity_mps,forward_distance,duration_sec,n_samples,yaw_drift_deg,start_x,end_x,start_y,end_y,start_t_rel,end_t_rel
M24A_S2_marble_floor_V035_R1,A_full_excluding_ends,ok,0.099948,0.799687,8.001,7958,4.8019,-23.3077,-23.2319,-0.9109,-1.7069,1.001,9.002
M24A_S2_marble_floor_V035_R1,B_command_window_idle_cmd_sec,ok,0.078002,0.467843,5.998,5988,0.9808,-23.3528,-23.4633,-0.9533,-1.4079,2.0,7.998
M24A_S2_marble_floor_V035_R1,C_middle_command_excluding_ends,ok,0.052184,0.234782,4.499,4492,3.1729,-23.387,-23.5284,-0.9855,-1.173,2.75,7.249
M24A_S2_marble_floor_V035_R1,D_original_m24b_extractor,ok,0.078002,0.467843,5.998,5988,0.9808,-23.3528,-23.4633,-0.9533,-1.4079,2.0,7.998
M24A_S2_marble_floor_V035_R1,E_raw_displacement_over_full_log,ok,0.139601,1.307273,9.364,9336,4.8503,-23.2888,-22.9784,-0.893,-2.1629,0.637,10.002
M24A_S2_marble_floor_V035_R2,A_full_excluding_ends,ok,0.061995,0.496042,8.001,7970,1.8466,-22.8157,-22.8617,-3.2684,-3.7623,1.0,9.002
M24A_S2_marble_floor_V035_R2,B_command_window_idle_cmd_sec,ok,0.042271,0.253594,5.999,5990,2.2602,-22.851,-23.0096,-3.2954,-3.4932,2.001,8.0
M24A_S2_marble_floor_V035_R2,C_middle_command_excluding_ends,ok,0.037978,0.170948,4.501,4494,2.081,-22.8777,-22.9958,-3.3159,-3.4395,2.75,7.251
M24A_S2_marble_floor_V035_R2,D_original_m24b_extractor,ok,0.042271,0.253594,5.999,5990,2.2602,-22.851,-23.0096,-3.2954,-3.4932,2.001,8.0
M24A_S2_marble_floor_V035_R2,E_raw_displacement_over_full_log,ok,0.087311,0.805938,9.231,9216,4.3006,-22.8016,-22.687,-3.2575,-4.0552,0.771,10.002
M24A_S2_marble_floor_V035_R3,A_full_excluding_ends,ok,0.063982,0.511868,8.0,7912,4.1345,-22.4887,-22.4203,-4.6926,-5.1998,1.0,9.0
M24A_S2_marble_floor_V035_R3,B_command_window_idle_cmd_sec,ok,0.037547,0.225244,5.999,5989,0.5145,-22.4887,-22.5363,-4.6926,-4.9127,2.001,8.0
M24A_S2_marble_floor_V035_R3,C_middle_command_excluding_ends,ok,0.017241,0.077592,4.5,4493,1.9043,-22.4887,-22.5561,-4.6926,-4.7311,2.75,7.251
M24A_S2_marble_floor_V035_R3,D_original_m24b_extractor,ok,0.037547,0.225244,5.999,5989,0.5145,-22.4887,-22.5363,-4.6926,-4.9127,2.001,8.0
M24A_S2_marble_floor_V035_R3,E_raw_displacement_over_full_log,ok,0.093354,0.858962,9.201,9071,6.0191,-22.4887,-22.3122,-4.6926,-5.5332,0.799,10.0
M24A_S2_marble_floor_V035_R4,A_full_excluding_ends,ok,0.040125,0.320947,7.999,7907,3.4846,-22.3146,-22.4753,-6.1597,-6.4376,1.001,9.0
M24A_S2_marble_floor_V035_R4,B_command_window_idle_cmd_sec,ok,0.0247,0.148183,5.999,5990,1.0187,-22.3289,-22.4688,-6.1649,-6.2137,2.0,8.0
