trial_id,command_velocity_mps,faulty_m24c_actual_velocity_mps,corrected_actual_velocity_mps,correction_factor,absolute_difference_mps,faulty_value_near_zero,corrected_value_plausible
M24A_S2_marble_floor_V035_R1,0.35,0.001541,0.007807,5.066191,0.006266,True,False
M24A_S2_marble_floor_V035_R2,0.35,0.003452,0.006438,1.865006,0.002986,True,False
M24A_S2_marble_floor_V035_R3,0.35,-0.000454,0.0,-0.0,0.000454,True,False
M24A_S2_marble_floor_V035_R4,0.35,-0.000817,-0.000317,0.388005,0.0005,True,False
M24A_S2_marble_floor_V035_R5,0.35,-1e-06,-1e-06,1.0,0.0,True,False
M24A_S2_marble_floor_V040_R1,0.40,0.000824,0.013834,16.788835,0.01301,True,False
M24A_S2_marble_floor_V040_R2,0.40,-2e-06,-1e-06,0.5,1e-06,True,False
M24A_S2_marble_floor_V040_R3,0.40,0.000889,0.005197,5.845894,0.004308,True,False
M24A_S2_marble_floor_V040_R4,0.40,0.00165,0.037736,22.870303,0.036086,True,True
M24A_S2_marble_floor_V040_R5,0.40,0.0,0.0,,0.0,True,False
M24A_S2_marble_floor_V045_R1,0.45,6e-06,0.039574,6595.666667,0.039568,True,True
M24A_S2_marble_floor_V045_R2,0.45,-0.001447,0.050268,-34.739461,0.051715,True,True
M24A_S2_marble_floor_V045_R3,0.45,-1e-06,0.001891,-1891.0,0.001892,True,False
M24A_S2_marble_floor_V045_R4,0.45,0.010625,0.106444,10.018259,0.095819,True,True
M24A_S2_marble_floor_V045_R5,0.45,0.0,0.0,,0.0,True,False
M24A_S2_marble_floor_V050_R1,0.50,-0.0,0.002242,,0.002242,True,False
M24A_S2_marble_floor_V050_R2,0.50,0.0,0.003637,,0.003637,True,False
M24A_S2_marble_floor_V050_R3,0.50,0.00416,0.055687,13.386298,0.051527,True,True
M24A_S2_marble_floor_V050_R4,0.50,-3.6e-05,0.081038,-2251.055556,0.081074,True,True
M24A_S2_marble_floor_V050_R5,0.50,1e-06,0.002583,2583.0,0.002582,True,False
M24A_S2_marble_floor_V055_R1,0.55,-2e-06,0.000501,-250.5,0.000503,True,False
M24A_S2_marble_floor_V055_R2,0.55,0.003042,0.069756,22.930966,0.066714,True,True
M24A_S2_marble_floor_V055_R3,0.55,-0.001258,0.052469,-41.708267,0.053727,True,True
M24A_S2_marble_floor_V055_R4,0.55,-0.001963,0.049722,-25.329598,0.051685,True,True
M24A_S2_marble_floor_V055_R5,0.55,-0.001677,0.073321,-43.721527,0.074998,True,True
M24A_S2_marble_floor_V060_R1,0.60,-0.001504,0.07428,-49.388298,0.075784,True,True
M24A_S2_marble_floor_V060_R2,0.60,0.002168,0.083754,38.631919,0.081586,True,True
M24A_S2_marble_floor_V060_R3,0.60,0.001423,0.09611,67.540408,0.094687,True,True
M24A_S2_marble_floor_V060_R4,0.60,-0.000905,0.088319,-97.590055,0.089224,True,True
M24A_S2_marble_floor_V060_R5,0.60,0.002365,0.071816,30.366173,0.069451,True,True
