trial_id,replication_group_id,surface,condition,command_velocity_mps,desired_velocity_mps,repeat_index,is_extension_velocity,physical_run_status,compensated_command,metadata_required,notes
M24G_CORE_S2_marble_floor_V040_R1,M24G_CORE_S2_marble_floor_V040,S2_marble_floor,direct_refresh_controlled,0.40,0.40,1,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V040_R2,M24G_CORE_S2_marble_floor_V040,S2_marble_floor,direct_refresh_controlled,0.40,0.40,2,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V040_R3,M24G_CORE_S2_marble_floor_V040,S2_marble_floor,direct_refresh_controlled,0.40,0.40,3,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V040_R4,M24G_CORE_S2_marble_floor_V040,S2_marble_floor,direct_refresh_controlled,0.40,0.40,4,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V040_R5,M24G_CORE_S2_marble_floor_V040,S2_marble_floor,direct_refresh_controlled,0.40,0.40,5,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V045_R1,M24G_CORE_S2_marble_floor_V045,S2_marble_floor,direct_refresh_controlled,0.45,0.45,1,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V045_R2,M24G_CORE_S2_marble_floor_V045,S2_marble_floor,direct_refresh_controlled,0.45,0.45,2,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V045_R3,M24G_CORE_S2_marble_floor_V045,S2_marble_floor,direct_refresh_controlled,0.45,0.45,3,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V045_R4,M24G_CORE_S2_marble_floor_V045,S2_marble_floor,direct_refresh_controlled,0.45,0.45,4,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V045_R5,M24G_CORE_S2_marble_floor_V045,S2_marble_floor,direct_refresh_controlled,0.45,0.45,5,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V050_R1,M24G_CORE_S2_marble_floor_V050,S2_marble_floor,direct_refresh_controlled,0.50,0.50,1,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V050_R2,M24G_CORE_S2_marble_floor_V050,S2_marble_floor,direct_refresh_controlled,0.50,0.50,2,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V050_R3,M24G_CORE_S2_marble_floor_V050,S2_marble_floor,direct_refresh_controlled,0.50,0.50,3,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V050_R4,M24G_CORE_S2_marble_floor_V050,S2_marble_floor,direct_refresh_controlled,0.50,0.50,4,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V050_R5,M24G_CORE_S2_marble_floor_V050,S2_marble_floor,direct_refresh_controlled,0.50,0.50,5,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V055_R1,M24G_CORE_S2_marble_floor_V055,S2_marble_floor,direct_refresh_controlled,0.55,0.55,1,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V055_R2,M24G_CORE_S2_marble_floor_V055,S2_marble_floor,direct_refresh_controlled,0.55,0.55,2,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V055_R3,M24G_CORE_S2_marble_floor_V055,S2_marble_floor,direct_refresh_controlled,0.55,0.55,3,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V055_R4,M24G_CORE_S2_marble_floor_V055,S2_marble_floor,direct_refresh_controlled,0.55,0.55,4,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
M24G_CORE_S2_marble_floor_V055_R5,M24G_CORE_S2_marble_floor_V055,S2_marble_floor,direct_refresh_controlled,0.55,0.55,5,False,planned_not_run,false,true,direct controlled replication only; no compensated commands
