platform,surface_type,desired_velocity_mps,method,recommended_cmd_mps,expected_actual_mps,status,reason
booster_k1,S1_lab_hard_floor,0.3023864643282712,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.3023864643282712,direct_command,0.3023864643282712,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.3023864643282712,scalar_gain,0.3126373654689996,0.3023864643282712,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.3023864643282712,nearest_lookup,0.35,0.3023864643282712,lookup,"nearest match at cmd=0.350 m/s, actual=0.302 m/s"
booster_k1,S1_lab_hard_floor,0.3023864643282712,ordinary_interpolation,0.35,0.302386,interpolated,global interpolation between cmd=0.300 and 0.350
booster_k1,S1_lab_hard_floor,0.3048,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.3048,direct_command,0.3048,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.3048,scalar_gain,0.31513272000000003,0.3048,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.3048,nearest_lookup,0.35,0.3023864643282712,lookup,"nearest match at cmd=0.350 m/s, actual=0.302 m/s"
booster_k1,S1_lab_hard_floor,0.3048,ordinary_interpolation,0.374748,0.3048,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,S1_lab_hard_floor,0.3072627045756289,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.3072627045756289,direct_command,0.3072627045756289,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.3072627045756289,scalar_gain,0.3176789102607427,0.3072627045756289,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.3072627045756289,nearest_lookup,0.4,0.3072627045756289,lookup,"nearest match at cmd=0.400 m/s, actual=0.307 m/s"
booster_k1,S1_lab_hard_floor,0.3072627045756289,ordinary_interpolation,0.4,0.307263,interpolated,global interpolation between cmd=0.350 and 0.400
booster_k1,S1_lab_hard_floor,0.3961,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.3961,direct_command,0.3961,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.3961,scalar_gain,0.40952779,0.3961,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.3961,nearest_lookup,0.4,0.3072627045756289,lookup,"nearest match at cmd=0.400 m/s, actual=0.307 m/s"
booster_k1,S1_lab_hard_floor,0.3961,ordinary_interpolation,0.425,0.3961,interpolated,global interpolation between cmd=0.400 and 0.450
booster_k1,S1_lab_hard_floor,0.4849377445327107,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.4849377445327107,direct_command,0.4849377445327107,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.4849377445327107,scalar_gain,0.5013771340723696,0.4849377445327107,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.4849377445327107,nearest_lookup,0.45,0.4849377445327107,lookup,"nearest match at cmd=0.450 m/s, actual=0.485 m/s"
booster_k1,S1_lab_hard_floor,0.4849377445327107,ordinary_interpolation,0.45,0.484938,interpolated,global interpolation between cmd=0.400 and 0.450
booster_k1,S1_lab_hard_floor,0.5392,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.5392,direct_command,0.5392,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.5392,scalar_gain,0.55747888,0.5392,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.5392,nearest_lookup,0.6,0.5933949329586784,lookup,"nearest match at cmd=0.600 m/s, actual=0.593 m/s"
booster_k1,S1_lab_hard_floor,0.5392,ordinary_interpolation,0.472319,0.5392,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S1_lab_hard_floor,0.5933949329586784,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.5933949329586784,direct_command,0.5933949329586784,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.5933949329586784,scalar_gain,0.6135110211859777,0.5933949329586784,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.5933949329586784,nearest_lookup,0.6,0.5933949329586784,lookup,"nearest match at cmd=0.600 m/s, actual=0.593 m/s"
booster_k1,S1_lab_hard_floor,0.5933949329586784,ordinary_interpolation,0.494609,0.593395,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S1_lab_hard_floor,0.5999,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.5999,direct_command,0.5999,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.5999,scalar_gain,0.62023661,0.5999,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.5999,nearest_lookup,0.6,0.5933949329586784,lookup,"nearest match at cmd=0.600 m/s, actual=0.593 m/s"
booster_k1,S1_lab_hard_floor,0.5999,ordinary_interpolation,0.497285,0.5999,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S1_lab_hard_floor,0.6065011456934616,ours_conservative_monotonic,,,insufficient_evidence,risk policy balanced removed all candidate cells
booster_k1,S1_lab_hard_floor,0.6065011456934616,direct_command,0.6065011456934616,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S1_lab_hard_floor,0.6065011456934616,scalar_gain,0.6270615345324699,0.6065011456934616,naive,u_cmd = 1.034 * v_desired
booster_k1,S1_lab_hard_floor,0.6065011456934616,nearest_lookup,0.5,0.6065011456934616,lookup,"nearest match at cmd=0.500 m/s, actual=0.607 m/s"
booster_k1,S1_lab_hard_floor,0.6065011456934616,ordinary_interpolation,0.5,0.606501,interpolated,global interpolation between cmd=0.450 and 0.500
booster_k1,S2_marble_floor,0.3540264980475401,ours_conservative_monotonic,,,infeasible_deadzone,desired velocity 0.354 is below minimum policy-accepted actual velocity 0.645
booster_k1,S2_marble_floor,0.3540264980475401,direct_command,0.3540264980475401,,naive,"u_cmd = v_desired, no compensation"
booster_k1,S2_marble_floor,0.3540264980475401,scalar_gain,0.36602799633135175,0.3540264980475401,naive,u_cmd = 1.034 * v_desired
booster_k1,S2_marble_floor,0.3540264980475401,nearest_lookup,0.35,0.3540264980475401,lookup,"nearest match at cmd=0.350 m/s, actual=0.354 m/s"
booster_k1,S2_marble_floor,0.3540264980475401,ordinary_interpolation,0.35,0.354026,interpolated,global interpolation between cmd=0.300 and 0.350
