schema_version,dataset_id,session_id,trial_id,platform,robot_model,robot_id,surface_type,environment_id,command_velocity_mps,measured_actual_velocity_mps,tracking_error_mps,relative_tracking_error,yaw_drift_deg,imu_yaw_drift_deg,state_source,command_source,measurement_source,measurement_method,analysis_window_start_sec,analysis_window_end_sec,state_log_path,raw_log_path,extraction_status,confidence,invalid_reason,created_at
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U010_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.1,-0.0,-0.1,-1.0,0.00987647458513621,0.010074546094915227,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U010_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U020_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.2,1.1617707001870599e-05,-0.199988,-0.999942,0.5430683631280357,0.5424263066227907,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U020_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U030_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.3,-2.139536206573071e-07,-0.3,-1.000001,1.4774381951448472,1.4093411871652908,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U030_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U035_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.35,0.1923803829321834,-0.15762,-0.450342,5.410548060894287,5.188949357063445,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U035_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U040_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.4,0.29876080294236923,-0.101239,-0.253098,8.806231192445486,8.868344916762037,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U040_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U045_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.45,0.5105956705733302,0.060596,0.134657,4.389352777561108,4.370255521291613,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U045_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U050_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.5,0.6167544000863683,0.116754,0.233509,3.1599597002674544,2.8686794163788227,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U050_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B1_U060_R1,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.6,0.6050434745105608,0.005043,0.008406,3.6359965277317516,3.5657002212555935,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B1_U060_R1.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B2_U010_R2,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.1,0.0,-0.1,-1.0,0.002086654994071601,0.002086654994071601,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B2_U010_R2.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
measurement_v1.0,m19c_booster_k1_gold_v1,m19c_full_72_measurement_run_20260611,M19C_S1_lab_hard_floor_B2_U020_R2,booster_k1,Booster K1,Booster_K1,lab_hard_floor,m19c_lab,0.2,0.0,-0.2,-1.0,0.30963641925012503,0.30935973793083815,/odometer_state,booster_sdk_kPrepare_kWalking_Move,ros2_odometer_state,odometer_forward_projection_window_3_8s,3.0,8.0,data/m19c_ros2_odometer_logs/M19C_S1_lab_hard_floor_B2_U020_R2.csv,unavailable,ok,high,extracted_from_ros2_odometer_state,2026-06-11T07:56:30.264822+00:00
